id, a0, a1, class
11,-8.69493,-4.08204,0
12,-8.6404,-3.85833,0
13,-7.70667,-1.4747,0
14,-8.81293,-3.27131,0
15,-8.05403,-3.51724,0
16,-8.29488,-3.51365,0
17,-10.1359,-4.39111,0
18,-8.04381,-2.79032,0
19,-9.82957,-4.44724,0
20,-9.09786,-4.46506,0
21,-7.0911,-3.26933,0
22,-7.98238,-2.70144,0
23,-9.67598,-3.84127,0
24,-7.85766,-2.21475,0
25,-8.15751,-4.09354,0
26,-8.9737,-2.76981,0
27,-8.05094,-3.59263,0
28,-7.72412,-1.54349,0
29,-8.91767,-4.12078,0
30,-8.13389,-1.80716,0
31,-10.4918,-4.16823,0
32,-7.64232,-2.87174,0
33,-7.6268,-2.67739,0
34,-8.59165,-3.32836,0
35,-7.20008,-1.64701,0
36,-8.75974,-3.67519,0
37,-8.3488,-2.61235,0
38,-7.7484,-2.84117,0
39,-8.97632,-4.52084,0
40,-7.69324,-2.27566,0
41,-10.0336,-5.04022,0
42,-8.85227,-4.0334,0
43,-9.03189,-4.04806,0
44,-8.13572,-3.3417,0
45,-8.86449,-3.94871,0
46,-9.23683,-3.62431,0
47,-9.43361,-3.65627,0
48,-8.18118,-2.27224,0
49,-8.40732,-2.7209,0
50,-9.50774,-4.42073,0
51,-8.78031,-4.7516,0
52,-8.81461,-3.32169,0
53,-8.97416,-4.91024,0
54,-9.31334,-3.81161,0
55,-8.74045,-4.7963,0
56,-7.95166,-3.80814,0
57,-10.0591,-4.7811,0
58,-8.36515,-3.44231,0
59,-6.99971,-2.68442,0
60,-9.65653,-5.11228,0
61,-8.66661,-3.68409,0
62,-8.15935,-3.07882,0
63,-7.99154,-1.51911,0
64,-9.11811,-2.32231,0
65,-9.0938,-4.34333,0
66,-8.14049,-3.33259,0
67,-8.02519,-4.65274,0
68,-8.44775,-3.63394,0
69,-8.9976,-4.7722,0
70,-8.66632,-3.32594,0
71,-7.95832,-2.87078,0
72,-9.25258,-4.46247,0
73,-10.3672,-4.54571,0
74,-7.46944,-3.1481,0
75,-8.59579,-4.77005,0
76,-9.22283,-3.56783,0
77,-8.21303,-2.67898,0
78,-9.2124,-3.58182,0
79,-8.64581,-3.3193,0
80,-9.35346,-5.39518,0
81,-7.76767,-2.09506,0
82,-9.05833,-2.98536,0
83,-7.42674,-3.79082,0
84,-8.68992,-2.91888,0
85,-7.29042,-2.17037,0
86,-8.34408,-3.64164,0
87,-8.17298,-3.17738,0
88,-9.30139,-3.25965,0
89,-9.29681,-3.59796,0
90,-9.58048,-4.49728,0
91,-8.49216,-3.65884,0
92,-8.34336,-2.41142,0
93,-7.8601,-2.97977,0
94,-9.04439,-3.78356,0
95,-8.88553,-4.39569,0
96,-7.28641,-1.33624,0
97,-8.77737,-4.02101,0
98,-9.30099,-3.68911,0
99,-8.19873,-3.15754,0
100,-7.0521,-1.3489,0
101,-7.09952,-3.1626,0
102,-8.26232,-4.13327,0
