id, a0, a1, class
1,0.5806994504,-0.9703880325,2
2,-0.0599597537,-1.2848864783,2
3,2.131430232,0.9484920275,1
4,-1.2136959007,1.536374738,2
5,-0.0421610953,0.0677335196,2
6,-1.3708096295,0.3149232878,1
7,-2.2532586094,-0.142809299,2
8,-1.1748479516,-1.7184410282,2
9,-0.8914884071,-2.7098888029,2
10,1.5169204543,2.282978225,1
11,-0.2783656141,-0.8555099689,2
12,-1.4599438328,-0.9435053732,2
13,-1.4816115465,-1.7096206674,2
14,0.6507246777,2.2424535014,1
15,0.4382340282,1.1925622436,1
16,0.8752973016,2.2973821251,1
17,1.8775523279,1.3498521908,1
18,1.4633469136,1.5645578334,1
19,-1.4393653363,-1.8660613337,2
20,-1.6924172925,-0.7571536357,2
21,-1.1044527936,-2.0609526396,2
22,-1.2079999126,-3.4215592875,2
23,2.2193084122,1.9416075639,1
24,-1.270435699,2.432884144,1
25,-1.973452669,-0.5816826194,2
26,-0.378809741,-0.73199086,2
27,1.6625616723,1.3840522706,1
28,0.3490097513,-0.8271594846,1
29,-1.2087370686,-1.9797396482,2
30,2.7969116471,0.3426598879,1
31,-0.0987784149,0.8171963192,1
32,2.7777420918,1.3645084294,1
33,1.3169444081,2.234796536,1
34,0.0495764216,0.5720382238,2
35,0.473719215,1.0369733989,1
36,-2.1202125363,-0.3516432184,2
37,1.3982594941,0.7287811168,1
38,-0.578693197,-0.8415384847,2
39,-1.4251536491,-0.104279537,2
40,0.123008994,1.4724880129,1
41,0.2999966043,-1.4904902974,2
42,-2.3367867565,-0.3444646823,2
43,2.4292424297,1.8496976621,1
44,0.4053068799,0.3636649594,1
45,-2.8826864578,-0.4867075859,2
46,1.1803112317,-0.0433435205,2
47,-0.6212227214,-0.1902897062,2
48,-2.0693128287,-1.1764551599,2
49,0.6248550184,1.8266331414,1
50,0.2052022815,2.3405966568,1
51,1.3151228687,0.0037830508,1
52,-0.8660606143,-3.1775436624,2
53,-0.2405515756,1.9125059225,1
54,-0.7435194631,-1.7850171704,2
55,0.3259297933,0.2683904606,1
56,-0.3667726462,-0.2219915946,2
57,-0.3976351268,-2.4138394977,2
58,-1.0340336865,-0.7025662985,2
59,-1.7897063605,1.3597635928,2
60,-1.4704355542,-2.0569969389,2
61,-0.0128181376,0.5709028776,1
62,-0.1664467299,-0.5244476237,2
63,2.3540235622,1.1689659226,1
64,1.050072712,-0.1178523925,1
65,-0.6631192444,-0.7878964752,2
66,-1.2089988733,-1.3488453837,2
67,1.2184599879,0.0035334892,1
68,2.8734752079,2.04287184,1
69,-0.738278195,0.7064713461,2
70,2.3346945194,-0.5212432946,1
71,-0.7522533539,0.1469168754,2
72,-0.3757848612,1.2344396153,1
73,-0.1905397818,1.5432188176,1
74,-1.9738186194,-1.3850724094,2
75,0.9003688029,1.5140554899,1
76,-1.1107350001,-0.6919957756,2
77,0.192194596,0.839153927,2
78,-0.6558859302,2.5934046497,1
79,-0.0456432907,0.6418031499,1
80,-0.7402391338,-0.1128771777,1
81,1.5131207715,1.4959184955,1
82,0.554043154,-0.3745542799,1
83,-2.8391937758,-0.4437898468,2
84,0.1801523609,0.519331849,1
85,-1.9952095487,0.2228837504,2
86,-0.7026898725,-0.0155040277,2
87,1.5574164951,2.5832022017,1
88,-2.2733370075,-1.5252071533,2
89,2.0250726098,3.0164796475,1
90,-0.5333878287,-1.7340891941,2
91,-0.7660816822,-2.2306224134,2
92,1.2644418987,1.1183323003,1
93,1.4324199214,1.4720148482,1
94,1.973222154,2.2613947845,1
95,0.4708059414,1.5049698915,1
96,1.0457684846,0.2235722765,1
97,1.7946914139,-0.099244231,2
98,-2.0880002025,-1.8861172041,2
99,-0.7045704291,0.1535906763,2
100,-0.4379645652,1.3824123227,1
101,1.2130814809,1.3027712589,1
102,-0.0250393658,-1.8664206871,2
103,-3.3534621553,-1.6488186686,2
104,-1.5845178121,0.0854464997,2
105,1.2538741496,-0.5740717665,2
106,-1.7740210555,-1.5022240142,2
107,-2.4236679799,-0.7597748739,2
108,1.4576693817,2.4847197345,1
109,0.2769991092,0.5917417449,1
110,2.4837446284,-0.7005801261,1
111,2.0820488625,1.6194887614,1
112,1.7997584441,1.053126349,1
113,-2.4252158014,-1.7222985958,2
114,1.3592038327,0.3141250837,1
115,1.3812225507,1.1020779415,1
116,-1.0834585318,0.9520851942,1
117,1.6278339029,1.0858521163,1
118,-0.6993867541,-1.2206229122,2
119,-0.0583972386,1.5814485394,1
120,0.7913505404,0.0639436005,1
121,3.0479732298,0.1922593695,1
122,-0.2159027223,0.8256761472,2
123,-2.2772293146,0.0945512345,2
124,-0.9088759935,-1.4759186469,2
125,0.7468453063,-2.1961966578,2
126,1.0324521835,-1.8959270354,1
127,-1.5114327154,-0.0670653168,2
128,2.1648052386,1.1809636202,1
129,0.5347226583,1.3760350238,1
130,-1.2306300487,-0.8265202948,2
131,1.8558091525,0.9216394338,1
132,0.779144332,0.086644605,2
133,0.1746572843,1.4421005643,1
134,0.7711200474,1.747712227,1
135,0.9309626825,1.002217611,1
136,-0.1058689426,-0.2353616303,2
137,0.5404061702,-0.6578100222,2
138,2.6911065002,1.2050111023,1
139,-1.2272169159,-0.6396585538,2
140,1.931210963,1.8084271728,1
141,-1.8736026292,-2.143080851,2
142,-1.5378213734,-2.9110071005,2
143,-2.1969441913,-0.4092079075,2
144,-0.100415818,0.67596512,1
145,-0.4087800696,-2.7823500552,2
146,-0.2662874323,-0.4443597392,2
147,-0.7827224378,-1.6484185226,2
148,0.2377859566,1.7652650405,1
