id, a0, a1, class
14,10.5,9,1
15,10.56717,9.268445,1
16,8.27532,11.38221,1
17,8.227458,11.37764,1
18,8.179511,11.37211,1
19,8.1315,11.36561,1
20,8.083443,11.35814,1
21,8.035361,11.3497,1
22,7.98727,11.34027,1
23,7.9392,11.32987,1
24,7.89116,11.31848,1
25,7.84317,11.30611,1
26,10.57166,9.29981,1
27,7.79526,11.29275,1
28,7.74744,11.2784,1
29,7.69974,11.26305,1
30,7.65217,11.24672,1
31,7.60476,11.22939,1
32,7.55752,11.21107,1
33,7.51048,11.19176,1
34,7.46366,11.17146,1
35,7.41707,11.15017,1
36,7.37075,11.12789,1
37,10.57552,9.331439,1
38,7.3247,11.10463,1
39,7.27896,11.08039,1
40,7.23353,11.05516,1
41,7.18845,11.02896,1
42,7.14373,11.00179,1
43,7.09939,10.97365,1
44,7.05546,10.94454,1
45,7.01195,10.91448,1
46,6.96888,10.88347,1
47,6.92628,10.85151,1
48,10.57873,9.363319,1
49,6.88417,10.81862,1
50,6.84256,10.78479,1
51,6.80148,10.75003,1
52,6.76095,10.71436,1
53,6.72098,10.67778,1
54,6.6816,10.64031,1
55,6.64282,10.60194,1
56,6.60467,10.56269,1
57,6.56716,10.52257,1
58,6.53032,10.48159,1
59,10.58131,9.395437,1
60,6.49417,10.43975,1
61,6.45871,10.39709,1
62,6.42398,10.35359,1
63,6.38998,10.30928,1
64,6.35675,10.26417,1
65,6.32429,10.21826,1
66,6.29262,10.17159,1
67,6.26177,10.12415,1
68,6.23175,10.07596,1
69,6.20257,10.02704,1
70,10.58323,9.42778,1
71,6.17426,9.977395,1
72,6.14683,9.927051,1
73,6.1203,9.876019,1
74,6.09468,9.824315,1
75,6.06999,9.771955,1
76,6.04624,9.718957,1
77,6.02345,9.665337,1
78,6.00164,9.611113,1
79,5.98082,9.556302,1
80,5.96101,9.500922,1
81,10.58448,9.460335,1
82,5.94221,9.444993,1
83,5.92444,9.388533,1
84,5.90772,9.331561,1
85,5.89206,9.274096,1
86,5.87747,9.216158,1
87,5.86397,9.157767,1
88,5.85155,9.0989439,1
89,5.84025,9.0397087,1
90,5.83006,8.9800824,1
91,5.821,8.9200863,1
92,10.58508,9.493089,1
93,5.81308,8.859742,1
94,5.80631,8.79907,1
95,5.8007,8.738094,1
96,5.79626,8.676835,1
97,5.79299,8.615316,1
98,5.7909,8.553559,1
99,5.79001,8.491588,1
100,5.79032,8.429425,1
101,5.79183,8.367093,1
102,5.79456,8.304617,1
103,10.58499,9.526028,1
104,5.79851,8.242019,1
105,5.80368,8.179323,1
106,5.81007,8.116554,1
107,5.81771,8.053736,1
108,5.82658,7.99089,1
109,5.83669,7.92805,1
110,5.84805,7.86523,1
111,5.86065,7.80246,1
112,5.87451,7.73976,1
113,5.88962,7.67716,1
114,10.58422,9.559137,1
115,5.90598,7.61468,1
116,5.92359,7.55235,1
117,5.94245,7.49019,1
118,5.96257,7.42824,1
119,5.98395,7.3665,1
120,6.00657,7.30502,1
121,6.03044,7.24381,1
122,6.05556,7.1829,1
123,6.08192,7.12231,1
124,6.10953,7.06207,1
125,10.50973,9.0284611,1
126,10.58277,9.592403,1
127,6.13837,7.00221,1
128,6.16844,6.94275,1
129,6.19974,6.88372,1
130,6.23226,6.82513,1
131,6.266,6.76703,1
132,6.30095,6.70942,1
133,6.33711,6.65234,1
134,6.37445,6.59582,1
135,6.41299,6.53986,1
136,6.4527,6.48451,1
137,10.58062,9.625812,1
138,6.49359,6.42979,1
139,6.53563,6.37571,1
140,6.57882,6.32231,1
141,6.62316,6.26961,1
142,6.66862,6.21763,1
143,6.7152,6.1664,1
144,6.76289,6.11593,1
145,6.81167,6.06626,1
146,6.86153,6.01741,1
147,6.91245,5.9694,1
148,10.57777,9.659349,1
149,6.96443,5.92225,1
150,7.01744,5.87599,1
151,7.07148,5.83063,1
152,7.12652,5.7862,1
153,7.18256,5.74273,1
154,7.23957,5.70023,1
155,7.29754,5.65873,1
156,7.35644,5.61824,1
157,7.41628,5.57878,1
158,7.47701,5.54039,1
159,10.57421,9.692999,1
160,7.53864,5.50307,1
161,7.60113,5.46685,1
162,7.66446,5.43174,1
163,7.72863,5.39778,1
164,7.7936,5.36496,1
165,7.85936,5.33332,1
166,7.92588,5.30287,1
167,7.99315,5.27363,1
168,8.061141,5.24561,1
169,8.129829,5.21884,1
170,10.56995,9.726748,1
171,8.199194,5.19332,1
172,8.269213,5.16908,1
173,8.339861,5.14613,1
174,8.411116,5.12449,1
175,8.482952,5.10416,1
176,8.555346,5.08517,1
177,8.628272,5.06753,1
178,8.701706,5.05125,1
179,8.775621,5.03635,1
180,8.849993,5.02283,1
181,10.56497,9.760581,1
182,8.9247947,5.01071,1
183,9,5,1
184,9.0755822,4.99071,1
185,9.151515,4.98286,1
186,9.22777,4.97644,1
187,9.30432,4.97148,1
188,9.381139,4.96797,1
189,9.458197,4.96594,1
190,9.535467,4.96538,1
191,9.61292,4.9663,1
192,10.55926,9.794483,1
193,9.690529,4.96871,1
194,9.768263,4.97262,1
195,9.846095,4.97803,1
196,9.923996,4.98495,1
197,10.00193,4.99338,1
198,10.07988,5.00332,1
199,10.15781,5.01478,1
200,10.23569,5.02776,1
201,10.31349,5.04227,1
202,10.39119,5.0583,1
203,10.55283,9.828439,1
204,10.46874,5.07586,1
205,10.54612,5.09494,1
206,10.62331,5.11555,1
207,10.70027,5.13768,1
208,10.77696,5.16134,1
209,10.85337,5.18652,1
210,10.92946,5.21322,1
211,11.0052,5.24144,1
212,11.08056,5.27117,1
213,11.15551,5.30241,1
214,10.54567,9.862433,1
215,11.23002,5.33515,1
216,11.30406,5.36939,1
217,11.37759,5.40512,1
218,11.4506,5.44234,1
219,11.52305,5.48103,1
220,11.59491,5.5212,1
221,11.66615,5.56283,1
222,11.73673,5.6059,1
223,11.80664,5.65043,1
224,11.87585,5.69638,1
225,10.53778,9.896449,1
226,11.94431,5.74375,1
227,12.01201,5.79254,1
228,12.07891,5.84272,1
229,12.14499,5.89429,1
230,12.21021,5.94723,1
231,12.27456,6.00152,1
232,12.33799,6.05716,1
233,12.40049,6.11413,1
234,12.46203,6.17241,1
235,12.52257,6.23199,1
236,10.51892,9.0572891,1
237,10.52916,9.930473,1
238,12.5821,6.29285,1
239,12.64058,6.35497,1
240,12.69798,6.41833,1
241,12.75429,6.48292,1
242,12.80948,6.54872,1
243,12.86351,6.61571,1
244,12.91638,6.68386,1
245,12.96804,6.75316,1
246,13.01848,6.82359,1
247,13.06767,6.89512,1
248,10.51979,9.964488,1
249,13.11558,6.96774,1
250,13.1622,7.04142,1
251,13.20751,7.11613,1
252,13.25147,7.19185,1
253,13.29407,7.26857,1
254,13.33529,7.34625,1
255,13.3751,7.42487,1
256,13.41348,7.5044,1
257,13.45041,7.58483,1
258,13.48588,7.66611,1
259,10.50968,9.998479,1
260,13.51986,7.74823,1
261,13.55234,7.83116,1
