id, a0, a1, class
13,31.95,7.95,3
14,31.15,7.3,3
15,30.45,6.65,3
16,29.7,6,3
17,28.9,5.55,3
18,28.05,5,3
19,27.2,4.55,3
20,26.35,4.15,3
21,25.4,3.85,3
22,24.6,3.6,3
23,23.6,3.3,3
24,22.75,3.15,3
25,21.85,3.05,3
26,20.9,3,3
27,20,2.9,3
28,19.1,3,3
29,18.2,3.2,3
30,17.3,3.25,3
31,16.55,3.5,3
32,15.7,3.7,3
33,14.85,4.1,3
34,14.15,4.4,3
35,13.4,4.75,3
36,12.7,5.2,3
37,12.05,5.65,3
38,11.45,6.15,3
39,10.9,6.65,3
40,10.3,7.25,3
41,9.7,7.85,3
42,9.35,8.35,3
43,8.9,9.05,3
44,8.55,9.65,3
45,8.15,10.35,3
46,7.95,10.95,3
47,7.75,11.7,3
48,7.55,12.35,3
49,7.45,13,3
50,7.35,13.75,3
51,7.3,14.35,3
52,7.35,14.95,3
53,7.35,15.75,3
54,7.55,16.35,3
55,7.7,16.95,3
56,7.8,17.55,3
57,8.05,18.15,3
58,8.3,18.75,3
59,8.65,19.3,3
60,8.9,19.85,3
61,9.3,20.3,3
62,9.65,20.8,3
63,10.2,21.25,3
64,10.6,21.65,3
65,11.1,22.15,3
66,11.55,22.45,3
67,11.95,22.7,3
68,12.55,23,3
69,13.05,23.2,3
70,13.45,23.4,3
71,14,23.55,3
72,14.55,23.6,3
73,15.1,23.75,3
74,15.7,23.75,3
75,16.15,23.85,3
76,16.7,23.8,3
77,17.15,23.75,3
78,17.75,23.75,3
79,18.2,23.6,3
80,18.65,23.5,3
81,19.1,23.35,3
82,19.6,23.15,3
83,20,22.95,3
84,20.4,22.7,3
85,20.7,22.55,3
86,21,22.15,3
87,21.45,21.95,3
88,21.75,21.55,3
89,22,21.25,3
90,22.25,21,3
91,22.5,20.7,3
92,22.65,20.35,3
93,22.75,20.05,3
94,22.9,19.65,3
95,23,19.35,3
96,23.1,19,3
97,23.15,18.65,3
98,23.2,18.25,3
99,23.2,18.05,3
100,23.2,17.8,3
101,23.1,17.45,3
102,23.05,17.15,3
103,22.9,16.9,3
104,22.85,16.6,3
105,22.7,16.4,3
106,22.6,16.2,3
107,22.55,16.05,3
108,22.4,15.95,3
109,22.35,15.8,3
110,22.2,15.65,3
111,22.15,15.55,3
112,22,15.4,3
113,21.9,15.3,3
114,21.85,15.25,3
115,21.75,15.15,3
116,21.65,15.05,3
117,21.55,15,3
118,21.5,14.9,3
119,19.35,31.65,1
120,20.35,31.45,1
121,21.35,31.1,1
122,22.25,30.9,1
123,23.2,30.45,1
124,23.95,30.05,1
125,24.9,29.65,1
126,25.6,29.05,1
127,26.35,28.5,1
128,27.15,27.9,1
129,27.75,27.35,1
130,28.3,26.6,1
131,28.95,25.85,1
132,29.5,25.15,1
133,29.95,24.45,1
134,30.4,23.7,1
135,30.6,22.9,1
136,30.9,22.1,1
137,31.25,21.3,1
138,31.35,20.55,1
139,31.5,19.7,1
140,31.55,18.9,1
141,31.65,18.15,1
142,31.6,17.35,1
143,31.45,16.55,1
144,31.3,15.8,1
145,31.15,15.05,1
146,30.9,14.35,1
147,30.6,13.65,1
148,30.3,13,1
149,29.9,12.3,1
150,29.5,11.75,1
151,29,11.15,1
152,28.5,10.6,1
153,28,10.1,1
154,27.55,9.65,1
155,26.9,9.1,1
156,26.25,8.8,1
157,25.7,8.4,1
158,25.15,8.05,1
159,24.5,7.75,1
160,23.9,7.65,1
161,23.15,7.4,1
162,22.5,7.3,1
163,21.9,7.1,1
164,21.25,7.05,1
165,20.5,7,1
166,19.9,6.95,1
167,19.25,7.05,1
168,18.75,7.1,1
169,18.05,7.25,1
170,17.5,7.35,1
171,16.9,7.6,1
172,16.35,7.8,1
173,15.8,8.05,1
174,15.4,8.35,1
175,14.9,8.7,1
176,14.45,8.9,1
177,13.95,9.3,1
178,13.6,9.65,1
179,13.25,10.1,1
180,12.95,10.55,1
181,12.65,10.9,1
182,12.35,11.4,1
183,12.2,11.75,1
184,11.95,12.2,1
185,11.8,12.65,1
186,11.75,13.05,1
187,11.55,13.6,1
188,11.55,14,1
189,11.55,14.35,1
190,11.55,14.7,1
191,11.6,15.25,1
192,11.65,15.7,1
193,11.8,16.05,1
194,11.85,16.5,1
195,12,16.75,1
196,12.15,17.2,1
197,12.3,17.6,1
198,12.55,17.85,1
199,12.8,18.05,1
200,13.1,18.4,1
201,13.3,18.6,1
202,13.55,18.85,1
203,13.8,19.05,1
204,14.15,19.25,1
205,14.45,19.5,1
206,14.85,19.55,1
207,15,19.7,1
208,15.25,19.7,1
209,15.55,19.85,1
210,15.95,19.9,1
211,16.2,19.9,1
212,16.55,19.9,1
213,16.85,19.9,1
214,17.2,19.9,1
215,17.4,19.8,1
216,17.65,19.75,1
217,17.8,19.7,1
218,18,19.6,1
219,18.2,19.55,1
220,3.9,9.6,2
221,3.55,10.65,2
222,3.35,11.4,2
223,3.1,12.35,2
224,3.1,13.25,2
225,3.05,14.15,2
226,3,15.1,2
227,3.1,16,2
228,3.2,16.85,2
229,3.45,17.75,2
230,3.7,18.7,2
231,3.95,19.55,2
232,4.35,20.25,2
233,4.7,21.1,2
234,5.15,21.8,2
235,5.6,22.5,2
236,6.2,23.3,2
237,6.8,23.85,2
238,7.35,24.45,2
239,8.05,24.95,2
240,8.8,25.45,2
241,9.5,26,2
242,10.2,26.35,2
243,10.9,26.75,2
244,11.7,27,2
245,12.45,27.25,2
246,13.3,27.6,2
247,14.05,27.6,2
248,14.7,27.75,2
249,15.55,27.75,2
250,16.4,27.75,2
251,17.1,27.75,2
252,17.9,27.75,2
253,18.55,27.7,2
254,19.35,27.6,2
255,20.1,27.35,2
256,20.7,27.1,2
257,21.45,26.8,2
258,22.05,26.5,2
259,22.7,26.15,2
260,23.35,25.65,2
261,23.8,25.3,2
262,24.3,24.85,2
263,24.75,24.35,2
264,25.25,23.95,2
265,25.65,23.45,2
266,26.05,23,2
267,26.2,22.3,2
268,26.6,21.8,2
269,26.75,21.25,2
270,27,20.7,2
271,27.15,20.15,2
272,27.15,19.6,2
273,27.35,19.1,2
274,27.35,18.45,2
275,27.4,18,2
276,27.3,17.4,2
277,27.15,16.9,2
278,27,16.4,2
279,27,15.9,2
280,26.75,15.35,2
281,26.55,14.85,2
282,26.3,14.45,2
283,25.95,14.1,2
284,25.75,13.7,2
285,25.35,13.3,2
286,25.05,12.95,2
287,24.8,12.7,2
288,24.4,12.45,2
289,24.05,12.2,2
290,23.55,11.85,2
291,23.2,11.65,2
292,22.75,11.4,2
293,22.3,11.3,2
294,21.9,11.1,2
295,21.45,11.05,2
296,21.1,11,2
297,20.7,10.95,2
298,20.35,10.95,2
299,19.95,11,2
300,19.55,11,2
301,19.15,11.05,2
302,18.85,11.1,2
303,18.45,11.25,2
304,18.15,11.35,2
305,17.85,11.5,2
306,17.5,11.7,2
307,17.2,11.95,2
308,17,12.05,2
309,16.75,12.2,2
310,16.65,12.35,2
311,16.5,12.5,2
312,16.35,12.7,2
313,16.2,12.8,2
314,16.15,12.95,2
315,16,13.1,2
316,15.95,13.25,2
317,15.9,13.4,2
318,15.8,13.5,2
319,15.8,13.65,2
320,15.75,13.85,2
321,15.65,14.05,2
322,15.65,14.25,2
323,15.65,14.5,2
324,15.65,14.6,2
