id, a0, a1, class
13,-3.053,0.787,1
14,-2.535,1.088,1
15,-2.667,0.611,1
16,-2.598,1.323,1
17,2.173,0.864,1
18,0.606,0.742,1
19,-1.686,0.854,1
20,2.307,1.196,1
21,0.520,1.155,1
22,-0.484,0.985,1
23,-1.857,1.337,1
24,-3.460,0.868,1
25,-0.324,1.237,1
26,0.319,1.149,1
27,0.714,1.399,1
28,-2.184,1.529,1
29,0.128,1.446,1
30,2.357,0.693,1
31,0.605,1.402,1
32,-0.770,1.401,1
33,1.199,1.135,1
34,-4.580,1.124,1
35,2.693,1.038,1
36,-1.969,0.901,1
37,0.597,1.031,1
38,-3.557,1.064,1
39,4.359,1.041,1
40,-4.393,1.371,1
41,-3.509,0.876,1
42,-0.494,0.743,1
43,2.767,1.281,1
44,0.926,1.275,1
45,0.161,0.716,1
46,3.213,0.846,1
47,3.715,1.502,1
48,3.889,0.644,1
49,-1.021,1.156,1
50,-3.313,1.288,1
51,-0.105,0.834,1
52,-4.164,1.255,1
53,3.566,1.288,1
54,-0.949,0.628,1
55,-2.198,1.493,1
56,0.898,1.260,1
57,-2.996,0.668,1
58,2.913,1.001,1
59,-0.088,0.893,1
60,-3.480,1.211,1
61,-0.642,0.825,1
62,1.870,0.805,1
63,-0.952,1.485,1
64,-2.330,0.901,1
65,-0.390,1.052,1
66,4.044,1.107,1
67,1.593,1.549,1
68,-1.297,0.868,1
69,-1.516,1.203,1
70,-3.205,1.021,1
71,-1.776,1.122,1
72,-1.997,1.535,1
73,-4.031,0.632,1
74,3.695,1.299,1
75,-0.956,1.342,1
76,0.106,1.458,1
77,-0.767,1.219,1
78,-3.211,1.330,1
79,3.486,1.483,1
80,-0.581,1.541,1
81,-1.476,0.938,1
82,3.407,1.408,1
83,-2.110,1.324,1
84,-0.363,0.971,1
85,1.960,0.668,1
86,-0.857,0.981,1
87,-3.693,0.845,1
88,-0.163,1.078,1
89,-3.014,1.023,1
90,-3.621,0.854,1
91,-1.842,0.731,1
92,3.689,0.960,1
93,-1.173,0.894,1
94,-0.394,0.854,1
95,-2.588,0.670,1
96,-1.131,1.172,1
97,2.051,1.406,1
98,-1.009,0.669,1
99,-4.418,0.845,1
100,1.451,0.751,1
101,-2.588,0.978,1
102,2.061,0.894,1
103,0.667,1.170,1
104,3.679,1.513,1
105,4.367,0.964,1
106,3.106,0.746,1
107,-1.707,1.024,1
108,3.860,0.743,1
109,3.876,1.023,1
110,2.310,1.506,1
111,-1.027,1.042,1
112,2.032,0.653,1
113,-1.256,1.459,1
114,-1.520,1.517,1
115,1.011,0.822,1
116,-3.825,0.975,1
117,0.767,0.768,1
118,2.720,0.655,1
119,1.578,0.824,1
120,-1.978,1.305,1
121,3.468,1.542,1
122,-2.352,1.554,1
123,-3.453,1.371,1
124,-2.643,0.616,1
125,1.373,0.827,1
126,0.956,0.744,1
127,-3.831,1.061,1
128,3.003,1.040,1
129,2.012,0.927,1
130,3.975,1.353,1
131,0.404,1.233,1
132,-2.932,0.790,1
133,1.747,8.187,2
134,0.219,6.065,2
135,2.688,4.617,2
136,2.133,3.011,2
137,1.824,5.002,2
138,1.923,3.626,2
139,0.973,6.264,2
140,0.668,8.206,2
141,0.342,5.024,2
142,3.114,4.254,2
143,0.876,10.907,2
144,0.796,9.325,2
145,2.320,4.555,2
146,1.078,7.116,2
147,1.585,7.640,2
148,2.943,5.737,2
149,0.332,4.140,2
150,2.468,6.952,2
151,1.476,6.637,2
152,0.571,9.919,2
153,0.749,5.690,2
154,2.514,3.799,2
155,1.243,5.416,2
156,1.129,10.721,2
157,1.928,6.846,2
158,1.788,3.957,2
159,0.293,4.847,2
160,2.405,10.802,2
161,1.880,7.830,2
162,1.001,8.210,2
163,2.999,4.535,2
164,2.298,3.020,2
165,1.724,9.077,2
166,1.493,3.438,2
167,0.665,7.631,2
168,2.501,4.667,2
169,2.397,6.431,2
170,1.063,7.043,2
171,1.664,3.796,2
172,3.159,5.441,2
173,2.683,4.207,2
174,1.971,6.905,2
175,1.291,9.276,2
176,0.910,9.106,2
177,1.343,5.651,2
178,1.567,5.681,2
179,1.400,8.526,2
180,1.875,10.264,2
181,1.961,7.116,2
182,2.256,10.813,2
183,0.446,10.470,2
184,2.515,9.902,2
185,3.177,5.489,2
186,2.244,6.245,2
187,0.779,5.556,2
188,1.120,5.287,2
189,0.888,9.323,2
190,1.695,3.234,2
191,1.342,5.436,2
192,1.855,8.774,2
193,2.366,5.688,2
194,1.441,7.651,2
195,0.228,3.285,2
196,2.602,5.893,2
197,2.259,3.498,2
198,1.860,8.525,2
199,1.804,9.068,2
200,2.341,10.513,2
201,2.601,4.711,2
202,1.712,10.293,2
203,1.389,5.120,2
204,1.811,3.722,2
205,1.158,5.225,2
206,2.673,10.470,2
207,2.405,5.605,2
208,0.848,10.885,2
209,2.317,6.270,2
210,2.501,3.168,2
211,1.410,8.452,2
212,0.543,5.644,2
213,0.707,8.583,2
214,0.393,4.949,2
215,1.211,9.303,2
216,0.468,7.002,2
217,0.284,4.603,2
218,1.803,4.395,2
219,0.621,10.415,2
220,3.024,7.522,2
221,1.054,5.603,2
222,3.135,3.071,2
223,0.769,10.032,2
224,1.562,4.295,2
225,1.899,9.309,2
226,0.844,3.742,2
227,1.434,10.706,2
228,3.058,5.795,2
229,1.033,6.619,2
230,1.159,5.389,2
231,1.930,5.792,2
232,2.286,10.883,2
233,3.091,10.019,2
234,1.141,8.064,2
235,0.324,9.338,2
236,0.687,4.007,2
237,1.008,4.495,2
238,2.690,10.724,2
239,0.673,9.237,2
240,2.571,7.941,2
241,0.760,5.068,2
242,2.015,6.743,2
243,0.581,8.696,2
244,1.107,10.245,2
245,0.372,9.437,2
246,1.678,4.845,2
247,1.786,7.423,2
248,0.484,6.979,2
249,0.454,5.400,2
250,2.958,9.131,2
251,3.138,3.289,2
252,1.560,9.042,2
253,0.627,8.294,2
254,3.003,8.206,2
255,0.454,4.940,2
256,2.212,6.070,2
257,1.422,6.469,2
258,2.772,10.307,2
259,0.851,5.806,2
260,2.250,7.591,2
261,1.269,10.759,2
262,0.382,3.245,2
263,0.554,3.051,2
264,1.351,9.427,2
265,2.212,7.378,2
266,1.006,10.661,2
267,0.494,7.172,2
268,2.467,4.570,2
269,2.855,5.279,2
270,1.113,3.059,2
271,3.167,4.364,2
272,2.958,10.706,2
273,2.346,7.550,2
274,3.093,6.424,2
275,1.804,4.460,2
276,1.343,3.587,2
277,2.676,9.423,2
278,0.759,3.910,2
279,1.106,10.270,2
280,0.773,6.442,2
281,2.149,10.632,2
282,1.253,5.413,2
283,0.544,7.859,2
284,1.601,9.080,2
285,3.117,4.084,2
286,2.811,6.222,2
287,0.430,5.775,2
288,0.575,7.954,2
289,2.567,5.168,2
290,3.169,10.320,2
291,1.255,9.513,2
292,0.378,6.224,2
293,0.647,8.622,2
294,1.905,9.392,2
295,2.268,4.942,2
296,2.935,5.248,2
297,3.154,7.732,2
298,1.347,4.771,2
299,2.537,4.957,2
300,2.216,4.835,2
301,3.173,3.227,2
302,2.107,9.556,2
303,-3.052,11.834,3
304,-2.743,8.906,3
305,-3.712,11.497,3
306,-3.868,9.838,3
307,-1.850,9.019,3
308,-4.013,10.763,3
309,-1.402,11.239,3
