id, a0, a1, class
13,15.55,28.65,2
14,14.9,27.55,2
15,14.45,28.35,2
16,14.15,28.8,2
17,13.75,28.05,2
18,13.35,28.45,2
19,13,29.15,2
20,13.45,27.5,2
21,13.6,26.5,2
22,12.8,27.35,2
23,12.4,27.85,2
24,12.3,28.4,2
25,12.2,28.65,2
26,13.4,25.1,2
27,12.95,25.95,2
28,12.9,26.5,2
29,11.85,27,2
30,11.35,28,2
31,11.15,28.7,2
32,11.25,27.4,2
33,10.75,27.7,2
34,10.5,28.35,2
35,9.65,28.45,2
36,10.25,27.25,2
37,10.75,26.55,2
38,11.7,26.35,2
39,11.6,25.9,2
40,11.9,25.05,2
41,12.6,24.05,2
42,11.9,24.5,2
43,11.1,25.2,2
44,10.55,25.15,2
45,10.05,25.95,2
46,9.35,26.6,2
47,9.3,27.25,2
48,9.2,27.8,2
49,7.5,28.25,2
50,8.55,27.45,2
51,8.5,27.05,2
52,8.05,27.2,2
53,7.85,26.8,2
54,7.3,27.4,2
55,6.8,26.85,2
56,7,26.5,2
57,7.55,26.3,2
58,8.55,26.3,2
59,9,25.85,2
60,8.6,25.65,2
61,9.4,25.55,2
62,8.45,25.05,2
63,8.85,24.6,2
64,9.65,24.7,2
65,10.55,24.35,2
66,11.05,23.9,2
67,10.55,23.55,2
68,9.45,23.35,2
69,9.2,23.9,2
70,8.35,23.9,2
71,7.35,24.75,2
72,7.4,25.45,2
73,6.6,25.75,2
74,6.1,26,2
75,5.8,26.95,2
76,5.65,25.8,2
77,5.3,26.1,2
78,6.4,25.4,2
79,5.4,25.25,2
80,5.35,24.7,2
81,4.8,25.05,2
82,4.2,25.55,2
83,6.4,24.8,2
84,6.55,24.3,2
85,7.4,24.25,2
86,5.45,24.2,2
87,4.3,24,2
88,4,24.25,2
89,3.35,23.3,2
90,4.85,23.05,2
91,4.3,22.75,2
92,5.85,23.4,2
93,5.9,23.55,2
94,7.55,23.7,2
95,6.85,23.25,2
96,7.65,23.1,2
97,6.95,22.55,2
98,6.1,22.6,2
99,5.5,22.6,2
100,4.7,22.1,2
101,3.8,21.85,2
102,4.65,21.2,2
103,4.15,20.35,2
104,5.3,20.4,2
105,5.6,20.75,2
106,5.8,21.95,2
107,6.4,21.95,2
108,6.55,21.15,2
109,7.45,21.95,2
110,7.4,21.55,2
111,7.75,21.2,2
112,7.65,20.65,2
113,6.95,19.8,2
114,6.6,20.1,2
115,6.05,20.2,2
116,5.4,19.65,2
117,5.35,19.05,2
118,5.8,18.25,2
119,6.3,19.1,2
120,7,18.9,2
121,7.15,17.9,2
122,7.35,18.2,2
123,8.2,20.05,2
124,8.3,19.45,2
125,8.3,18.5,2
126,8.75,18.8,2
127,9.05,18.2,2
128,9.35,17.7,2
129,8.9,17.65,2
130,8.45,17.2,2
131,10.05,17.2,2
132,10.4,16.75,2
133,8.6,20.9,2
134,8.65,21.3,2
135,8.65,21.9,2
136,8.65,22.5,2
137,8.95,22.8,2
138,9.95,22.65,2
139,8.95,22.2,2
140,9.65,21.9,2
141,10.55,22.3,2
142,10.9,22.85,2
143,11.35,23.45,2
144,12.05,23.4,2
145,12.3,22.75,2
146,11.7,22.15,2
147,11.15,22.05,2
148,10.85,21.5,2
149,10.85,21.05,2
150,9.6,21.3,2
151,9.85,20.7,2
152,9.35,20.6,2
153,9.25,19.65,2
154,9.95,19.8,2
155,10.7,20.35,2
156,11.3,20.7,2
157,12.35,21.6,2
158,13.1,21.3,2
159,12.85,20.75,2
160,12,20,2
161,11,19.85,2
162,10.35,19,2
163,9.9,18.65,2
164,10.6,18.15,2
165,11.4,18.3,2
166,11.4,19.25,2
167,12.35,18.8,2
168,12.8,19.75,2
169,12.15,18.1,2
170,11.05,17.5,2
171,11.95,17.25,2
172,12.25,17.5,2
173,13.05,17.4,2
174,13.75,18.15,2
175,13.5,18.65,2
176,13.65,19.25,2
177,14,19.9,2
178,15.2,18.2,2
179,15.5,17.15,2
180,13.9,17.1,2
181,13.75,16.6,2
182,12.15,16.4,2
183,7.8,13.7,7
184,8.85,13.35,7
185,9,12.7,7
186,9.7,12.1,7
187,8.05,12.9,7
188,7.7,13.25,7
189,6.8,13.2,7
190,6.6,13.45,7
191,6.2,12.55,7
192,5.4,12.85,7
193,5.7,12.25,7
194,5.2,11.9,7
195,5.15,11.35,7
196,5.85,11.2,7
197,6.1,11.75,7
198,7,12.35,7
199,7.05,12.45,7
200,7.9,12.5,7
201,8.55,12.1,7
202,7.85,11.85,7
203,7.1,11.95,7
204,6.9,11.5,7
205,6.85,10.9,7
206,6.4,10.7,7
207,5.9,10.3,7
208,6.4,10.25,7
209,7.05,10.05,7
210,7.35,10.5,7
211,7.65,11.1,7
212,8.1,11.2,7
213,8.8,11.4,7
214,8.3,10.55,7
215,9,10.9,7
216,9.35,10.5,7
217,10.15,11,4
218,10.4,10.55,4
219,10.9,10,4
220,11.55,10.2,4
221,11.75,10.85,4
222,10.1,8.65,4
223,11.05,9.1,4
224,11.85,9.8,4
225,12.85,10.65,4
226,12.9,11.7,4
227,13.6,11.1,4
228,14.05,11.75,4
229,14.5,11.8,4
230,14.3,12.45,4
231,17,12.9,4
232,15.8,12.6,4
233,15.85,12,4
234,16.7,12.2,4
235,16.25,11.7,4
236,15.55,11.15,4
237,14.8,11.35,4
238,14.45,10.75,4
239,13.75,10.45,4
240,12.8,10.1,4
241,13.15,9.8,4
242,12.45,9.3,4
243,11.8,8.95,4
244,11.1,8.45,4
245,10.35,7.7,4
246,10.1,6.75,4
247,11.3,7.95,4
248,12.35,8.45,4
249,13.1,8.95,4
250,13.2,9.35,4
251,14.1,10.05,4
252,11.5,7.5,4
253,11.35,6.9,4
254,11.95,6.75,4
255,12.4,7.1,4
256,12.25,7.6,4
257,12.95,7.6,4
258,13.45,7.95,4
259,13.35,8.25,4
260,13.75,9,4
261,14.3,9.3,4
262,14.85,9.55,4
263,15.1,10.25,4
264,15.45,10.55,4
265,16.35,10.85,4
266,16.75,11.5,4
267,16.25,10.2,4
268,15.4,10.1,4
269,15.45,9.7,4
270,15.15,9.3,4
271,15.25,8.65,4
272,15.55,8.2,4
273,14.25,8.7,4
274,14.25,8.25,4
275,15.05,7.8,4
276,14.3,7.5,4
277,13.55,7.45,4
278,14.3,6.95,4
279,13.95,6.7,4
280,13.05,6.95,4
281,13.05,6.2,4
282,11.55,6.3,4
283,10.8,5.85,4
284,10.6,5.05,4
285,11.35,5.55,4
286,12.15,5.4,4
287,12.4,5.8,4
288,12.8,5.7,4
289,13.65,5.9,4
290,13.9,5.3,4
291,13.1,5.1,4
292,12.55,4.9,4
293,11.5,4.75,4
294,11.35,4.05,4
295,12.4,4.35,4
296,11.75,3.45,4
297,12.65,3.7,4
298,13.4,4.35,4
299,13.9,4.95,4
300,12.75,3,4
301,13.55,3.15,4
302,13.7,3.65,4
303,14.1,4.1,4
304,14.65,5.05,4
305,14.35,5.75,4
306,14.5,6.55,4
307,15.15,7.1,4
308,13.6,2.55,4
309,14.45,2.4,4
310,14.6,3.05,4
311,15,3.4,4
312,15.25,3.5,4
313,14.7,4.1,4
314,14.7,4.5,4
315,15.25,2.7,4
316,15.65,2.05,4
317,15.95,2.8,4
318,16.1,3.55,4
319,15.9,4,4
320,15.6,4.75,4
321,15.55,5.05,4
322,15.35,5.5,4
323,15.15,5.95,4
324,15.5,6.75,4
325,15.7,6.35,4
326,16.2,5.9,4
327,16.35,5.35,4
328,16.2,4.55,4
329,16.55,4.2,4
330,16.95,4.75,4
331,17.05,5.1,4
332,17.3,4.8,4
333,17.3,4.15,4
334,17.6,4.3,4
335,17.05,3.7,4
336,17.25,3.05,4
337,16.65,2.8,4
338,16.55,2.15,4
339,17.2,2.05,4
340,18.15,1.95,4
341,18.05,2.45,4
342,18.15,3.05,4
343,18.6,3.45,4
344,18.4,3.6,4
345,18.85,3.2,4
346,19.1,2.65,4
347,19.45,2.65,4
348,19,2.1,4
349,19.9,2.05,4
350,20.45,2.8,4
351,19.8,3.25,4
352,19.45,3.9,4
353,18.65,4.2,4
354,18.4,4.6,4
355,18.65,4.75,4
356,18.75,5.15,4
357,19.1,4.55,4
358,17.9,5.4,4
359,17.65,5.7,4
360,17.05,6.05,4
361,17.4,6.5,4
362,16.6,6.85,4
363,15.7,7.15,4
364,15.75,7.75,4
365,16.6,7.95,4
366,20.4,3.4,4
367,20.7,3.45,4
368,21.15,2.85,4
369,21.75,2.65,4
370,22,3.25,4
371,22.2,3.5,4
372,21.45,3.75,4
373,21.1,4.05,4
374,20.15,4.3,4
375,20.8,4.7,4
376,20.7,5.15,4
377,19.75,5.05,4
