id, a0, a1, class
1,-4.82249,-50.40217,4.020861,1
2,-44.46012,20.96467,-11.49206,1
3,50.00102,0.7807481,9.13446,1
4,-41.69908,-22.31006,16.31412,1
5,4.425242,-4.666664,50.22374,1
6,27.26058,23.38604,35.06772,1
7,-19.988,-6.638056,45.86818,1
8,47.5704,-1.571324,15.8721,1
9,41.8764,10.83021,24.64421,1
10,15.85935,14.686,44.09609,1
11,-33.77252,-36.60115,3.766672,1
12,3.218305,-44.84079,22.52914,1
13,4.31406,-2.829593,-50.04402,1
14,22.7331,-33.76487,28.55148,1
15,5.453126,4.356794,48.95405,1
16,6.473627,49.40687,0.3539394,1
17,-21.38691,44.32754,-9.408566,1
18,34.33926,-11.68791,34.82704,1
19,-2.538081,-40.3518,29.40645,1
20,14.16785,-35.62283,-32.61538,1
21,33.07119,-28.15823,-23.45108,1
22,-45.86114,2.049557,21.06677,1
23,-45.06056,16.24832,15.40648,1
24,11.35568,-8.953778,-49.02086,1
25,26.94642,-32.28738,25.70605,1
26,23.97626,43.49894,8.875034,1
27,-22.61322,1.12052,43.846,1
28,-46.64605,13.00358,14.79079,1
29,-43.8916,-18.32661,19.00224,1
30,-7.45989,-12.62892,-48.4261,1
31,48.77461,-10.88641,-0.9436041,1
32,-45.7206,-20.06,-9.225777,1
33,-31.63734,-22.73955,31.27342,1
34,-42.95419,22.21346,11.99868,1
35,0.7238982,-0.5390864,50.49664,1
36,-36.67465,-11.73224,31.75296,1
37,-26.96182,-42.71378,-4.202611,1
38,-12.54398,-44.17073,17.12193,1
39,-3.791277,10.2348,47.8953,1
40,-2.104881,-2.757672,49.14903,1
41,15.93932,-40.4724,22.66677,1
42,20.82794,22.35719,38.69671,1
43,34.87016,27.49711,20.86706,1
44,7.022449,10.49432,-48.06278,1
45,16.93301,-46.36226,-10.05664,1
46,48.95567,-9.864451,0.3758181,1
47,-10.47965,-23.89419,43.89176,1
48,-3.377526,-43.36406,-23.22464,1
49,-17.27796,39.43855,24.45212,1
50,-20.78939,44.21985,3.80786,1
51,19.70845,-23.33272,-40.17329,1
52,-18.0635,-12.48334,-45.34063,1
53,11.00464,28.33156,-39.06953,1
54,-12.04288,-35.05996,-33.67099,1
55,-5.762872,35.68634,34.41024,1
56,32.77245,-26.81582,-27.31609,1
57,4.349359,-15.73848,-46.58156,1
58,-37.4316,-13.33147,-29.36227,1
59,1.095149,-28.95145,41.19409,1
60,20.81152,-45.09924,6.71862,1
61,-16.63654,40.85904,23.28948,1
62,-49.46474,-9.365017,4.165513,1
63,-32.93833,37.47076,5.488567,1
64,-34.69399,-13.47161,-33.68293,1
65,-1.700924,3.878389,-50.18907,1
66,9.342566,-48.16571,5.786603,1
67,-0.7621773,0.242945,50.54068,1
68,-22.53897,-1.074838,-45.07567,1
69,-43.22574,-19.92554,-14.80758,1
70,0.146423,-2.590253,-49.4474,1
71,35.09462,35.27068,3.152403,1
72,-13.35171,-41.21441,25.29178,1
73,5.15683,16.4838,-46.40707,1
