id,a0,a1,class
1,0.228,0.559,Class 1
2,0.216,0.528,Class 1
3,0.221,0.552,Class 1
4,0.215,0.538,Class 1
5,0.224,0.548,Class 1
6,0.232,0.553,Class 1
7,0.216,0.525,Class 1
8,0.225,0.538,Class 1
9,0.206,0.554,Class 1
10,0.219,0.582,Class 1
11,0.216,0.575,Class 1
12,0.212,0.567,Class 1
13,0.241,0.551,Class 1
14,0.238,0.538,Class 1
15,0.232,0.524,Class 1
16,0.240,0.545,Class 1
17,0.223,0.528,Class 1
18,0.222,0.527,Class 1
19,0.233,0.562,Class 1
20,0.190,0.546,Class 1
21,0.209,0.558,Class 1
22,0.239,0.559,Class 1
23,0.240,0.540,Class 1
24,0.222,0.557,Class 1
25,0.220,0.539,Class 1
26,0.233,0.548,Class 1
27,0.221,0.558,Class 1
28,0.212,0.564,Class 1
29,0.244,0.584,Class 1
30,0.236,0.558,Class 1
31,0.229,0.532,Class 1
32,0.230,0.547,Class 1
33,0.238,0.551,Class 1
34,0.244,0.540,Class 1
35,0.238,0.542,Class 1
36,0.234,0.559,Class 1
37,0.232,0.534,Class 1
38,0.226,0.527,Class 1
39,0.199,0.590,Class 1
40,0.223,0.552,Class 1
41,0.226,0.525,Class 1
42,0.241,0.537,Class 1
43,0.214,0.517,Class 1
44,0.213,0.556,Class 1
45,0.226,0.532,Class 1
46,0.214,0.565,Class 1
47,0.223,0.573,Class 1
48,0.225,0.552,Class 1
49,0.258,0.554,Class 1
50,0.208,0.594,Class 1
51,0.222,0.535,Class 1
52,0.212,0.547,Class 1
53,0.210,0.553,Class 1
54,0.211,0.545,Class 1
55,0.236,0.551,Class 1
56,0.229,0.568,Class 1
57,0.241,0.565,Class 1
58,0.235,0.546,Class 1
59,0.220,0.562,Class 1
60,0.196,0.552,Class 1
61,0.226,0.539,Class 1
62,0.211,0.582,Class 1
63,0.237,0.552,Class 1
64,0.223,0.560,Class 1
65,0.226,0.562,Class 1
66,0.246,0.543,Class 1
67,0.219,0.551,Class 1
68,0.232,0.571,Class 1
69,0.227,0.545,Class 1
70,0.213,0.566,Class 1
71,0.235,0.561,Class 1
72,0.237,0.574,Class 1
73,0.218,0.523,Class 1
74,0.227,0.573,Class 1
75,0.244,0.551,Class 1
76,0.232,0.555,Class 1
77,0.239,0.563,Class 1
78,0.234,0.575,Class 1
79,0.219,0.564,Class 1
80,0.253,0.560,Class 1
81,0.241,0.567,Class 1
82,0.231,0.532,Class 1
83,0.228,0.576,Class 1
84,0.214,0.548,Class 1
85,0.230,0.587,Class 1
86,0.234,0.539,Class 1
87,0.227,0.536,Class 1
88,0.216,0.544,Class 1
89,0.228,0.563,Class 1
90,0.235,0.549,Class 1
91,0.234,0.589,Class 1
92,0.203,0.575,Class 1
93,0.248,0.567,Class 1
94,0.226,0.537,Class 1
95,0.213,0.594,Class 1
96,0.223,0.534,Class 1
97,0.250,0.579,Class 1
98,0.207,0.523,Class 1
99,0.233,0.576,Class 1
100,0.242,0.584,Class 1
101,0.221,0.556,Class 1
102,0.234,0.568,Class 1
103,0.231,0.580,Class 1
104,0.228,0.559,Class 1
105,0.215,0.545,Class 1
106,0.244,0.573,Class 1
107,0.225,0.572,Class 1
108,0.248,0.544,Class 1
109,0.239,0.550,Class 1
110,0.230,0.579,Class 1
111,0.244,0.600,Class 1
112,0.229,0.571,Class 1
113,0.224,0.574,Class 1
114,0.251,0.578,Class 1
115,0.224,0.560,Class 1
116,0.260,0.600,Class 1
117,0.206,0.570,Class 1
118,0.208,0.589,Class 1
119,0.218,0.561,Class 1
120,0.220,0.562,Class 1
121,0.231,0.607,Class 1
122,0.203,0.562,Class 1
123,0.229,0.546,Class 1
124,0.256,0.553,Class 1
125,0.245,0.576,Class 1
126,0.227,0.600,Class 1
127,0.237,0.559,Class 1
128,0.236,0.607,Class 1
129,0.245,0.586,Class 1
130,0.231,0.581,Class 1
131,0.215,0.557,Class 1
132,0.245,0.568,Class 1
133,0.212,0.560,Class 1
134,0.213,0.579,Class 1
135,0.227,0.578,Class 1
136,0.224,0.593,Class 1
137,0.221,0.584,Class 1
